business_id,business_type,business_age_months,loan_amount_requested,loan_purpose,stated_annual_turnover,avg_monthly_bank_credit,turnover_bank_ratio,num_employees_stated,gst_returns_filed_last_12,gst_filing_consistency,num_companies_director_linked,any_linked_company_defaulted,address_type,num_businesses_at_same_address,address_verified,years_of_itr_filed,itr_turnover_match,existing_loans,loan_to_turnover_ratio,application_hour,is_ghost
B0018,LLP,105,250000,inventory,13191533,1279569,0.86,29.0,6,11749.65,1,0,coworking,5,1,7.0,1,0,0.02,7,0
B0019,LLP,57,500000,inventory,7834806,483573,1.35,,6,33484.95,1,1,commercial,17,1,4.0,1,2,0.06,21,0
B0020,Pvt Ltd,55,2500000,working capital,5175919,536870,0.8,10.0,7,42081.59,13,0,commercial,50,1,,1,4,0.48,6,0
B0021,LLP,28,500000,expansion,9007441,652281,1.15,45.0,11,11684.01,7,1,residential,32,1,7.0,1,4,0.06,19,1
B0022,Pvt Ltd,118,250000,equipment purchase,15245270,1574490,0.81,23.0,9,9384.03,10,0,commercial,35,0,4.0,0,1,0.02,11,0
B0023,Pvt Ltd,26,5000000,inventory,2608086,253006,0.86,32.0,11,560.55,2,1,commercial,23,1,3.0,0,4,1.92,7,0
B0024,Pvt Ltd,29,1000000,working capital,11278627,1149217,0.82,31.0,11,20598.12,6,0,commercial,13,0,9.0,0,1,0.09,12,0
B0025,LLP,84,2500000,inventory,15881837,1096407,1.21,19.0,2,44971.87,13,0,residential,1,0,8.0,1,0,0.16,1,0
B0026,Proprietorship,80,500000,equipment purchase,2838782,250147,0.95,15.0,7,45148.98,5,0,coworking,31,1,1.0,0,3,0.18,8,0
B0027,Pvt Ltd,51,250000,expansion,6677772,420785,1.32,33.0,0,,5,0,residential,19,1,0.0,0,2,0.04,19,1
B0028,LLP,64,100000,equipment purchase,2109387,144381,1.22,17.0,12,10217.62,10,0,commercial,23,1,3.0,0,2,0.05,16,0
B0029,LLP,110,1000000,expansion,17660310,1303833,1.13,,5,20402.37,12,1,coworking,54,1,9.0,1,0,0.06,17,1
B0030,Pvt Ltd,104,100000,expansion,5669501,540722,0.87,20.0,1,39031.23,6,0,commercial,34,1,2.0,1,3,0.02,23,0
B0031,LLP,40,250000,expansion,17444020,1039123,1.4,9.0,6,30592.57,14,1,commercial,4,1,8.0,1,4,0.01,15,0
B0032,Pvt Ltd,51,500000,inventory,6419261,664324,0.81,38.0,12,25692.49,11,0,commercial,48,1,2.0,0,3,0.08,8,0
B0033,Pvt Ltd,15,500000,equipment purchase,7015766,434090,1.35,3.0,2,29596.59,8,0,coworking,48,1,2.0,1,4,0.07,4,0
B0034,Partnership,57,500000,inventory,12276360,947217,1.08,2.0,10,4809.98,5,0,commercial,49,1,9.0,1,4,0.04,19,0
B0035,Partnership,96,100000,equipment purchase,19344355,1206852,1.34,18.0,12,23883.18,8,1,residential,53,0,6.0,1,4,0.01,15,1
B0036,Proprietorship,82,250000,working capital,7048932,682207,0.86,,4,49603.16,5,0,commercial,44,1,1.0,1,3,0.04,12,0
B0037,Pvt Ltd,91,500000,working capital,12147194,794415,1.27,19.0,9,4422.31,10,0,commercial,34,1,7.0,1,0,0.04,22,0
B0038,Pvt Ltd,21,5000000,equipment purchase,4389359,450221,0.81,7.0,12,25962.33,6,1,coworking,30,1,5.0,1,4,1.14,1,1
B0039,LLP,26,1000000,equipment purchase,4770924,404786,0.98,35.0,0,14782.46,8,0,commercial,56,0,8.0,0,0,0.21,22,0
B0040,LLP,16,2500000,equipment purchase,9310580,984658,0.79,20.0,4,26995.66,2,0,residential,10,1,7.0,1,4,0.27,11,0
B0041,Pvt Ltd,104,1000000,equipment purchase,10747166,782945,1.14,20.0,8,28690.94,7,0,commercial,6,0,,0,0,0.09,8,0
B0042,LLP,111,500000,expansion,11709939,949080,1.03,19.0,8,28873.64,3,0,residential,12,0,7.0,1,0,0.04,1,0
B0043,Pvt Ltd,16,100000,inventory,14726003,1370190,0.9,41.0,6,42610.44,10,0,virtual office,12,1,3.0,1,0,0.01,11,0
B0044,Partnership,83,500000,expansion,2899414,289735,0.83,16.0,8,19487.37,10,1,commercial,49,1,4.0,0,1,0.17,23,0
B0045,Pvt Ltd,76,500000,inventory,6557914,520706,1.05,38.0,3,25817.71,7,1,commercial,18,1,9.0,1,3,0.08,21,1
B0046,LLP,37,500000,inventory,18867620,1942515,0.81,21.0,2,546.42,3,0,coworking,36,0,6.0,1,4,0.03,5,0
B0047,Pvt Ltd,46,500000,inventory,2784533,178858,1.3,,10,39477.53,8,0,virtual office,35,0,5.0,1,4,0.18,12,0
B0048,LLP,65,500000,expansion,4366491,409435,0.89,44.0,3,12974.39,10,0,commercial,25,1,4.0,1,1,0.11,15,0
B0049,LLP,98,250000,equipment purchase,5147193,389865,1.1,38.0,6,,2,0,residential,49,1,1.0,0,0,0.05,19,0
B0050,Pvt Ltd,50,500000,expansion,10872364,689309,1.31,45.0,7,13281.93,10,0,residential,55,1,4.0,1,0,0.05,7,0
B0051,Partnership,73,100000,expansion,17713276,1375729,1.07,24.0,1,539.42,12,0,commercial,41,1,9.0,0,4,0.01,6,0
B0052,Proprietorship,82,1000000,inventory,7773668,795589,0.81,37.0,4,7741.57,8,0,commercial,57,0,,1,2,0.13,14,0
B0053,Partnership,72,100000,working capital,1296184,139158,0.78,29.0,4,49284.15,7,0,coworking,22,1,5.0,1,4,0.08,4,0
B0054,Proprietorship,102,100000,working capital,5955500,464370,1.07,31.0,12,15990.06,12,0,coworking,30,1,5.0,1,4,0.02,20,0
B0055,LLP,45,250000,expansion,10405111,1068127,0.81,45.0,8,5441.2,5,1,virtual office,44,1,4.0,1,1,0.02,17,0
B0056,Partnership,57,500000,inventory,17711102,1484474,0.99,39.0,12,5937.94,4,0,commercial,29,1,8.0,0,0,0.03,20,0
B0057,Pvt Ltd,19,250000,expansion,8038707,757118,0.88,12.0,12,15517.14,11,0,coworking,7,0,0.0,1,3,0.03,18,0
B0058,Pvt Ltd,86,250000,expansion,9308263,564098,1.38,30.0,12,1882.25,10,0,residential,48,1,3.0,1,4,0.03,12,0
B0059,Pvt Ltd,13,500000,equipment purchase,16132315,1390588,0.97,4.0,2,25574.43,12,0,commercial,40,1,6.0,0,4,0.03,22,0
B0060,Pvt Ltd,86,250000,inventory,7563240,467721,1.35,30.0,11,10687.05,14,0,residential,3,1,0.0,1,3,0.03,15,0
B0061,Pvt Ltd,26,2500000,working capital,8751796,628065,1.16,5.0,5,25965.53,10,0,virtual office,21,0,3.0,1,1,0.29,12,1
B0062,Pvt Ltd,55,2500000,working capital,1971602,170886,0.96,16.0,9,7038.21,1,0,commercial,45,0,5.0,1,2,1.27,13,0
B0063,Proprietorship,28,500000,working capital,16593134,1637601,0.84,27.0,11,21492.86,13,0,coworking,20,1,9.0,1,1,0.03,15,0
B0064,Pvt Ltd,112,250000,expansion,9850825,850894,0.96,4.0,4,29895.84,4,1,coworking,9,1,7.0,0,4,0.03,21,0
B0065,Pvt Ltd,72,1000000,inventory,14574250,1532379,0.79,8.0,1,3100.0,13,0,commercial,41,1,6.0,1,1,0.07,11,0
B0066,LLP,18,100000,equipment purchase,13863108,1370367,0.84,48.0,1,19937.47,6,0,coworking,36,0,8.0,1,3,0.01,11,0
B0067,Pvt Ltd,71,500000,working capital,17002140,1124612,1.26,8.0,3,15126.19,2,0,coworking,14,1,6.0,0,1,0.03,10,0
B0068,Proprietorship,15,250000,inventory,838781,65241,1.07,17.0,11,12017.99,9,0,commercial,18,1,2.0,0,4,0.3,22,0
B0069,Pvt Ltd,84,2500000,working capital,4097120,375941,0.91,46.0,3,30226.73,13,0,commercial,33,0,9.0,0,3,0.61,22,0
B0070,Partnership,69,100000,equipment purchase,16634530,1750844,0.79,44.0,6,29427.1,13,1,commercial,51,1,3.0,0,3,0.01,6,0
B0071,Proprietorship,30,500000,inventory,13538530,1458358,0.77,3.0,11,31534.99,13,0,commercial,2,1,2.0,0,4,0.04,3,0
B0072,Pvt Ltd,73,1000000,expansion,13040571,1258319,0.86,27.0,0,7944.13,4,0,residential,37,1,8.0,1,4,0.08,5,0
B0073,Pvt Ltd,81,500000,expansion,12543661,1091571,0.96,34.0,10,14285.46,4,0,commercial,31,0,7.0,1,4,0.04,22,0
B0074,Proprietorship,53,100000,working capital,6693437,643666,0.87,45.0,5,10483.94,12,0,coworking,22,1,9.0,1,2,0.01,13,0
B0075,Proprietorship,75,5000000,working capital,17289173,1244736,1.16,21.0,10,27025.18,8,0,coworking,46,1,8.0,0,4,0.29,13,0
B0076,Proprietorship,23,500000,inventory,9859728,714963,1.15,43.0,12,23053.28,11,0,commercial,9,1,9.0,0,1,0.05,11,0
B0077,Proprietorship,27,500000,equipment purchase,15031214,1368604,0.92,24.0,8,16514.69,2,0,commercial,20,1,9.0,1,0,0.03,14,0
B0078,Pvt Ltd,71,250000,working capital,14588845,1486969,0.82,44.0,1,39300.74,2,0,commercial,20,1,1.0,1,2,0.02,10,0
B0079,Pvt Ltd,27,500000,inventory,3745498,400108,0.78,41.0,11,4698.69,2,0,commercial,47,1,4.0,1,2,0.13,3,0
B0080,Pvt Ltd,33,250000,equipment purchase,11015975,830605,1.11,29.0,4,48744.83,1,0,commercial,52,0,4.0,0,0,0.02,10,0
B0081,Proprietorship,77,100000,working capital,1998111,196136,0.85,39.0,9,5827.2,13,0,commercial,1,1,6.0,1,1,0.05,11,0
B0082,LLP,57,100000,working capital,16532031,1668245,0.83,6.0,10,38653.54,5,0,commercial,30,1,,0,2,0.01,19,0
B0083,Pvt Ltd,96,1000000,inventory,3608958,322972,0.93,14.0,9,18411.51,11,0,commercial,19,1,3.0,1,2,0.28,7,0
B0084,Pvt Ltd,62,250000,working capital,5392712,408298,1.1,14.0,3,43263.11,4,0,coworking,36,1,7.0,1,4,0.05,23,0
B0085,Pvt Ltd,62,100000,expansion,9663082,862794,0.93,37.0,3,3708.5,2,0,commercial,14,0,0.0,0,3,0.01,17,0
B0086,Pvt Ltd,54,500000,equipment purchase,16201804,1418561,0.95,24.0,7,18736.09,1,0,commercial,1,0,5.0,1,2,0.03,5,0
B0087,Proprietorship,17,1000000,equipment purchase,11576762,1026391,0.94,13.0,5,16772.17,1,0,residential,5,1,8.0,1,1,0.09,8,1
B0088,LLP,95,100000,expansion,7088919,633014,0.93,1.0,6,49657.85,2,0,commercial,10,1,1.0,1,3,0.01,23,0
B0089,Proprietorship,45,500000,inventory,9166777,922968,0.83,12.0,10,49277.45,1,0,commercial,9,1,4.0,1,0,0.05,16,0
B0090,LLP,66,100000,expansion,18086354,1208845,1.25,42.0,11,9490.2,9,0,residential,49,1,,1,2,0.01,4,0
B0091,Pvt Ltd,117,100000,expansion,4856232,372463,1.09,24.0,8,31497.35,2,0,commercial,14,1,9.0,1,1,0.02,15,0
B0092,Proprietorship,74,100000,equipment purchase,9561555,837911,0.95,37.0,12,26775.97,3,0,commercial,39,1,,0,0,0.01,12,0
B0093,Proprietorship,115,1000000,inventory,3276245,237526,1.15,20.0,2,7718.67,9,0,commercial,18,1,3.0,1,4,0.31,12,0
B0094,LLP,33,100000,working capital,7272978,779961,0.78,6.0,10,8388.99,5,1,commercial,42,1,8.0,0,4,0.01,20,0
B0095,Proprietorship,28,100000,expansion,7963108,569289,1.17,12.0,1,49462.59,14,0,commercial,59,0,7.0,1,3,0.01,8,0
B0096,LLP,62,250000,expansion,11323042,926392,1.02,21.0,2,22636.5,13,1,residential,25,1,8.0,0,0,0.02,1,1
B0097,LLP,65,1000000,inventory,11686583,1194387,0.82,3.0,7,6290.06,8,0,commercial,36,1,1.0,1,3,0.09,20,1
B0098,LLP,84,250000,expansion,13051436,813581,1.34,27.0,12,10739.5,7,0,commercial,31,1,9.0,0,0,0.02,15,0
B0099,Pvt Ltd,53,250000,inventory,1577406,156743,0.84,46.0,8,13417.4,14,0,residential,46,1,4.0,0,0,0.16,0,0
B0100,Pvt Ltd,67,100000,working capital,16693982,1450435,0.96,36.0,9,25545.86,6,1,coworking,35,1,9.0,1,4,0.01,7,0
B0101,Pvt Ltd,84,250000,inventory,17192889,1030256,1.39,17.0,4,16777.41,13,0,virtual office,27,1,8.0,1,3,0.01,23,1
B0102,LLP,75,500000,working capital,2889905,299044,0.81,49.0,7,22750.59,2,0,commercial,55,1,4.0,1,4,0.17,1,1
B0103,Pvt Ltd,29,500000,inventory,13503857,814190,1.38,46.0,10,8324.98,14,0,commercial,22,1,3.0,1,0,0.04,9,0
B0104,LLP,35,250000,expansion,1389912,116883,0.99,15.0,6,16336.43,13,0,commercial,11,1,7.0,1,4,0.18,12,0
B0105,Partnership,21,250000,working capital,7958310,483745,1.37,39.0,11,3515.83,4,0,virtual office,10,1,5.0,0,3,0.03,0,0
B0106,Pvt Ltd,65,100000,expansion,1200527,74304,1.35,4.0,11,44485.51,9,0,virtual office,8,1,1.0,1,3,0.08,2,0
B0107,LLP,109,250000,working capital,4489551,461047,0.81,17.0,12,9937.62,7,1,commercial,41,1,7.0,1,1,0.06,8,0
B0108,Proprietorship,87,100000,inventory,8490863,820426,0.86,38.0,8,37845.01,3,0,commercial,28,1,4.0,1,4,0.01,22,0
B0109,Pvt Ltd,36,1000000,inventory,13272155,904900,1.22,11.0,3,17477.59,6,0,commercial,23,0,6.0,0,1,0.08,22,0
B0110,Pvt Ltd,24,5000000,inventory,5175616,462476,0.93,12.0,12,23719.87,8,0,commercial,6,1,3.0,1,0,0.97,3,0
B0111,Pvt Ltd,71,5000000,equipment purchase,17414935,1707835,0.85,47.0,9,14563.05,8,0,coworking,14,0,8.0,1,4,0.29,4,0
B0112,Pvt Ltd,14,2500000,equipment purchase,9133829,939075,0.81,32.0,2,34822.06,8,0,commercial,24,0,1.0,1,2,0.27,22,0
B0113,Partnership,14,500000,working capital,9961251,814319,1.02,27.0,8,42227.32,13,0,commercial,9,0,9.0,1,1,0.05,1,0
B0114,Proprietorship,85,1000000,equipment purchase,7184419,741491,0.81,44.0,7,14313.51,8,0,virtual office,46,1,8.0,0,3,0.14,14,0
B0115,LLP,59,250000,inventory,2058569,172355,1.0,43.0,6,12110.88,13,0,commercial,40,1,3.0,1,1,0.12,2,0
B0116,Proprietorship,85,500000,equipment purchase,12560680,1164936,0.9,27.0,0,34072.01,6,1,commercial,38,1,5.0,1,4,0.04,18,1
B0117,Proprietorship,19,500000,equipment purchase,9442224,1013007,0.78,49.0,1,9757.65,11,0,commercial,56,1,4.0,1,1,0.05,10,0
B0118,Pvt Ltd,111,500000,expansion,17232949,1208562,1.19,40.0,8,,10,0,commercial,25,1,2.0,0,3,0.03,6,0
B0119,Proprietorship,47,1000000,working capital,15768890,1052721,1.25,44.0,4,4721.4,11,0,commercial,38,1,6.0,0,1,0.06,6,0
B0120,LLP,53,250000,working capital,19311946,1456782,1.1,29.0,0,31006.86,3,0,commercial,30,0,3.0,1,1,0.01,21,0
B0121,Proprietorship,13,250000,working capital,10409378,692778,1.25,9.0,8,25670.34,9,0,commercial,22,0,0.0,1,2,0.02,16,0
B0122,Proprietorship,50,2500000,equipment purchase,16530935,1199178,1.15,,0,5695.29,14,0,commercial,2,1,7.0,1,0,0.15,14,0
B0123,Pvt Ltd,12,100000,inventory,14477095,1382310,0.87,3.0,7,32455.18,14,0,commercial,25,1,2.0,1,3,0.01,7,0
B0124,Pvt Ltd,18,500000,expansion,16849781,1385212,1.01,39.0,4,22327.86,14,1,virtual office,24,0,5.0,0,0,0.03,9,1
B0125,Pvt Ltd,101,2500000,working capital,13373211,1030879,1.08,29.0,10,10855.75,3,0,commercial,37,1,1.0,1,2,0.19,14,0
B0126,LLP,82,500000,equipment purchase,13858729,1063928,1.09,21.0,11,,12,0,commercial,58,1,8.0,0,4,0.04,19,0
B0127,Proprietorship,52,500000,inventory,9037968,615122,1.22,35.0,5,24605.11,12,1,commercial,3,1,3.0,1,4,0.06,23,1
B0128,Proprietorship,62,250000,expansion,3958460,319463,1.03,48.0,0,4577.71,4,0,commercial,57,0,6.0,1,2,0.06,6,0
B0129,Pvt Ltd,14,250000,expansion,15871509,1421533,0.93,10.0,1,47880.47,10,0,commercial,43,1,8.0,0,4,0.02,16,0
B0130,LLP,30,2500000,working capital,11521299,752237,1.28,23.0,6,33278.11,1,1,residential,26,1,2.0,0,4,0.22,22,0
B0131,LLP,22,500000,working capital,10254043,1096915,0.78,39.0,1,,2,0,commercial,30,1,2.0,1,1,0.05,19,0
B0132,Pvt Ltd,62,500000,inventory,4962571,399474,1.04,25.0,4,41143.11,6,0,residential,29,1,2.0,0,1,0.1,20,1
B0133,Pvt Ltd,30,100000,equipment purchase,10202389,1078712,0.79,24.0,10,16127.75,14,0,commercial,7,1,4.0,0,1,0.01,12,0
B0134,Pvt Ltd,37,100000,inventory,1654969,107682,1.28,20.0,8,29839.98,13,0,virtual office,9,1,9.0,0,2,0.06,5,0
B0135,Partnership,83,5000000,working capital,11764264,1137535,0.86,15.0,12,13857.14,14,1,coworking,45,1,5.0,1,4,0.43,4,1
B0136,Pvt Ltd,90,250000,inventory,13971379,1246459,0.93,21.0,11,36670.3,12,0,commercial,30,0,2.0,1,0,0.02,15,0
B0137,LLP,28,500000,equipment purchase,18627031,1850344,0.84,,2,36150.45,1,0,commercial,16,0,9.0,1,3,0.03,1,0
B0138,Proprietorship,87,100000,expansion,12640067,1116967,0.94,12.0,10,27602.17,12,1,commercial,55,0,8.0,1,4,0.01,23,0
B0139,Pvt Ltd,55,500000,expansion,4466974,475621,0.78,18.0,12,12046.28,9,0,virtual office,44,1,0.0,1,2,0.11,23,0
B0140,Partnership,19,2500000,expansion,11070901,992837,0.93,23.0,5,12685.19,8,0,commercial,40,0,6.0,1,1,0.23,4,0
B0141,Partnership,87,500000,expansion,3088160,301291,0.85,41.0,6,19143.14,2,1,residential,14,1,,1,3,0.16,4,0
B0142,Pvt Ltd,45,100000,working capital,3609668,368952,0.82,29.0,12,7250.61,14,1,residential,26,1,4.0,1,3,0.03,11,1
B0143,LLP,97,500000,working capital,16893445,1589039,0.89,41.0,10,16882.79,2,0,commercial,46,1,,1,3,0.03,22,0
B0144,Pvt Ltd,118,1000000,equipment purchase,7886089,666730,0.99,36.0,9,34217.73,8,0,commercial,37,0,,1,0,0.13,17,0
B0145,Pvt Ltd,113,250000,equipment purchase,1769343,127347,1.16,5.0,10,41542.26,12,0,commercial,58,1,3.0,1,1,0.14,20,0
B0146,Pvt Ltd,107,2500000,equipment purchase,7782060,786439,0.82,,7,16629.11,11,0,virtual office,10,0,7.0,1,1,0.32,0,0
B0147,LLP,46,500000,equipment purchase,8654410,712796,1.01,26.0,2,11679.51,8,0,commercial,30,0,2.0,0,1,0.06,12,0
B0148,LLP,20,2500000,inventory,667659,59667,0.93,39.0,10,41632.13,1,0,commercial,22,1,4.0,0,1,3.74,19,0
B0149,Pvt Ltd,40,500000,equipment purchase,3911236,243649,1.34,11.0,3,44535.2,14,0,commercial,56,1,2.0,1,4,0.13,11,0
B0150,Pvt Ltd,98,100000,expansion,19367933,1611429,1.0,42.0,9,20501.08,5,0,commercial,30,1,5.0,1,3,0.01,7,0
B0151,Partnership,98,250000,expansion,9402601,876709,0.89,11.0,3,1345.21,11,0,commercial,32,1,0.0,0,3,0.03,0,1
B0152,Pvt Ltd,38,250000,expansion,14070270,1231668,0.95,18.0,1,34748.08,2,0,virtual office,14,1,6.0,1,3,0.02,14,0
B0153,Pvt Ltd,73,2500000,inventory,13684215,1105151,1.03,12.0,6,39201.66,1,1,residential,23,1,5.0,0,2,0.18,9,0
B0154,LLP,38,1000000,equipment purchase,16624308,1155467,1.2,16.0,11,901.21,9,0,residential,17,1,5.0,1,1,0.06,0,0
B0155,Partnership,27,500000,expansion,18675144,1378540,1.13,27.0,3,29751.54,13,0,residential,58,1,2.0,0,4,0.03,13,0
B0156,Pvt Ltd,50,250000,expansion,2545481,237657,0.89,36.0,3,29418.44,3,0,residential,36,0,0.0,1,4,0.1,12,0
B0157,LLP,62,100000,expansion,9618303,668884,1.2,17.0,12,18935.4,13,0,commercial,29,1,0.0,1,2,0.01,19,0
B0158,Proprietorship,97,1000000,expansion,7572368,677118,0.93,49.0,11,37488.37,13,0,coworking,24,1,6.0,1,2,0.13,9,0
B0159,Pvt Ltd,80,500000,working capital,19326516,1697258,0.95,21.0,7,21408.95,9,0,commercial,47,1,3.0,1,3,0.03,4,0
B0160,Proprietorship,47,250000,equipment purchase,7189687,768248,0.78,37.0,5,33838.8,10,0,commercial,11,1,5.0,1,3,0.03,8,0
B0161,Pvt Ltd,35,500000,equipment purchase,4571889,280587,1.36,31.0,5,25855.87,1,0,commercial,41,1,3.0,1,3,0.11,13,0
B0162,LLP,42,100000,inventory,11299020,720193,1.31,,10,12423.23,11,0,commercial,15,1,7.0,1,3,0.01,20,0
B0163,LLP,33,250000,working capital,16588383,1387410,1.0,35.0,8,30325.04,2,0,commercial,22,1,8.0,1,3,0.02,0,0
B0164,LLP,37,500000,inventory,13312263,1127399,0.98,27.0,3,,9,0,commercial,27,1,1.0,1,1,0.04,14,0
B0165,Pvt Ltd,68,100000,expansion,17593791,1061428,1.38,23.0,8,48695.28,14,1,residential,52,1,0.0,1,4,0.01,18,1
B0166,Proprietorship,116,5000000,inventory,1174104,116971,0.84,32.0,0,19005.45,5,1,commercial,34,1,0.0,1,1,4.26,19,1
B0167,Pvt Ltd,115,250000,expansion,3970966,329866,1.0,17.0,10,3223.63,9,1,commercial,57,1,,1,4,0.06,6,0
B0168,Pvt Ltd,109,100000,expansion,17033495,1288848,1.1,11.0,8,49398.56,6,0,coworking,33,1,1.0,0,0,0.01,17,0
B0169,Pvt Ltd,104,250000,equipment purchase,8775104,651779,1.12,1.0,0,31190.33,10,0,commercial,21,1,2.0,1,0,0.03,3,0
B0170,LLP,40,1000000,equipment purchase,19290707,1956148,0.82,28.0,6,47322.52,10,0,commercial,24,1,,0,0,0.05,23,0
B0171,LLP,73,250000,equipment purchase,7319678,498982,1.22,18.0,5,5191.35,3,0,residential,20,1,8.0,1,4,0.03,20,0
B0172,Pvt Ltd,30,500000,equipment purchase,5611179,372325,1.26,49.0,6,17101.69,8,0,commercial,49,1,9.0,0,2,0.09,5,0
B0173,LLP,82,100000,equipment purchase,7412690,511418,1.21,41.0,8,6696.83,10,0,commercial,4,1,1.0,1,1,0.01,2,0
B0174,Pvt Ltd,82,100000,working capital,10557816,945816,0.93,20.0,9,41775.51,9,0,commercial,37,1,9.0,0,2,0.01,3,0
B0175,LLP,88,250000,equipment purchase,639244,63208,0.84,7.0,3,44017.14,13,0,commercial,37,1,1.0,0,4,0.39,1,0
B0176,Pvt Ltd,84,1000000,inventory,1221673,91481,1.11,37.0,11,,8,0,commercial,46,1,0.0,1,3,0.82,2,0
B0177,LLP,12,2500000,expansion,13000513,871118,1.24,16.0,8,9330.31,4,1,commercial,33,1,,1,2,0.19,17,0
B0178,Pvt Ltd,106,100000,equipment purchase,3091090,212645,1.21,39.0,2,6355.95,8,0,commercial,31,1,7.0,1,4,0.03,1,1
B0179,Partnership,15,500000,working capital,989922,88392,0.93,45.0,9,29408.21,5,0,commercial,34,1,4.0,1,0,0.51,7,1
B0180,Pvt Ltd,53,2500000,inventory,7926029,559855,1.18,45.0,10,25318.82,13,0,coworking,22,0,2.0,1,3,0.32,6,0
B0181,Pvt Ltd,40,250000,inventory,4936134,504459,0.82,47.0,10,34739.46,6,0,commercial,42,0,0.0,1,0,0.05,8,0
B0182,Pvt Ltd,106,1000000,expansion,18242314,1158895,1.31,23.0,8,15260.36,4,0,virtual office,30,1,1.0,1,2,0.05,23,0
B0183,Partnership,67,100000,inventory,2806972,168282,1.39,32.0,12,20118.4,5,1,commercial,5,1,8.0,0,2,0.04,8,0
B0184,Proprietorship,108,2500000,inventory,9500085,596151,1.33,49.0,0,1068.05,12,0,residential,41,0,7.0,1,1,0.26,1,1
B0185,Pvt Ltd,94,1000000,inventory,12646131,1272396,0.83,17.0,4,30507.15,1,0,commercial,45,0,,1,1,0.08,6,0
B0186,LLP,83,2500000,inventory,13059402,1187031,0.92,19.0,9,21157.18,12,0,commercial,23,1,3.0,0,4,0.19,12,0
B0187,Proprietorship,116,500000,working capital,3220688,342103,0.78,42.0,4,45988.23,3,0,commercial,53,1,2.0,0,2,0.16,7,0
B0188,LLP,13,250000,expansion,13631804,1024404,1.11,34.0,0,32089.31,14,0,virtual office,13,1,4.0,1,0,0.02,0,1
B0189,LLP,35,2500000,equipment purchase,4548745,313714,1.21,14.0,0,19934.72,4,0,commercial,9,0,7.0,1,1,0.55,2,0
B0190,Pvt Ltd,24,250000,inventory,6756464,583975,0.96,3.0,2,13179.46,1,0,commercial,14,1,9.0,1,0,0.04,7,0
B0191,Pvt Ltd,37,250000,working capital,6921172,589855,0.98,39.0,8,45264.25,13,1,commercial,17,1,5.0,1,4,0.04,18,0
B0192,Proprietorship,83,1000000,expansion,6449089,566775,0.95,25.0,6,,3,0,commercial,35,1,9.0,1,0,0.16,3,0
